label,implementation,number
Patick Strateman,Core(bitcoin.team),17
Tom Harding,Core(bitcoin.team),17
JaSK,Core(bitcoin.team),16
sirius-m,Core(bitcoin.team),16
Kamil Domanski,Core(bitcoin.team),15
Kaz Wesley,Core(bitcoin.team),15
fanquake,Core(bitcoin.team),15
mrbandrews,Core(bitcoin.team),15
Casey Rodarmor,Core(bitcoin.team),14
Jimmy Song,Core(bitcoin.team),14
ENikS,Core(bitcoin.team),13
dexX7,Core(bitcoin.team),13
Mark Friedenbach,Core(bitcoin.team),12
xanatos,Core(bitcoin.team),12
2.10E+15,Core(bitcoin.team),11
João Barbosa,Core(bitcoin.team),11
Mike Hearn,Core(bitcoin.team),11
Nils Schneider,Core(bitcoin.team),11
tcatm,Core(bitcoin.team),11
Daniel Cousens,Core(bitcoin.team),10
jnewbery,Core(bitcoin.team),10
mruddy,Core(bitcoin.team),10
Pavel Vasin,Core(bitcoin.team),9
Ricardo M. Correia,Core(bitcoin.team),9
paveljanik,Core(bitcoin.team),9
Forrest Voight,Core(bitcoin.team),8
James O'Beirne,Core(bitcoin.team),8
Jordan Lewis,Core(bitcoin.team),8
Marko Bencun,Core(bitcoin.team),8
Warren Togami,Core(bitcoin.team),8
Adam Weiss,Core(bitcoin.team),7
Ross Nicoll,Core(bitcoin.team),7
whythat,Core(bitcoin.team),7
Ashley Holman,Core(bitcoin.team),6
Bob McElrath,Core(bitcoin.team),6
Jack Grigg,Core(bitcoin.team),6
Micha,Core(bitcoin.team),6
Thomas Snider,Core(bitcoin.team),6
Vegard Nossum,Core(bitcoin.team),6
fsb4000,Core(bitcoin.team),6
isle2983,Core(bitcoin.team),6
sinetek,Core(bitcoin.team),6
--author=Satoshi Nakamoto,Core(bitcoin.team),5
Alexander Kjeldaas,Core(bitcoin.team),5
Jameson Lopp,Core(bitcoin.team),5
Janne Pulkkinen,Core(bitcoin.team),5
Michael Hendricks,Core(bitcoin.team),5
Roman Mindalev,Core(bitcoin.team),5
sje397,Core(bitcoin.team),5
Andrew C,Core(bitcoin.team),4
Brandon Dahler,Core(bitcoin.team),4
Chris,Core(bitcoin.team),4
David Joel Schwartz,Core(bitcoin.team),4
Han Lin Yap,Core(bitcoin.team),4
Huang Le,Core(bitcoin.team),4
John Maguire,Core(bitcoin.team),4
Pedro Branco,Core(bitcoin.team),4
Robert Backhaus,Core(bitcoin.team),4
Roy Badami,Core(bitcoin.team),4
UdjinM6,Core(bitcoin.team),4
Venkatesh Srinivas,Core(bitcoin.team),4
accraze,Core(bitcoin.team),4
fcicq,Core(bitcoin.team),4
freewil,Core(bitcoin.team),4
gubatron,Core(bitcoin.team),4
jonnynewbs,Core(bitcoin.team),4
kjj2,Core(bitcoin.team),4
ptschip,Core(bitcoin.team),4
Christian von Roques,Core(bitcoin.team),3
CryptAxe,Core(bitcoin.team),3
Daniel Folkinshteyn,Core(bitcoin.team),3
David Hill,Core(bitcoin.team),3
Doug Huff,Core(bitcoin.team),3
Eric Shaw,Core(bitcoin.team),3
Ethan Heilman,Core(bitcoin.team),3
EthanHeilman,Core(bitcoin.team),3
Fordy,Core(bitcoin.team),3
Johnathan Corgan,Core(bitcoin.team),3
Jon Lund Steffensen,Core(bitcoin.team),3
Josh Lehan,Core(bitcoin.team),3
Kalle Alm,Core(bitcoin.team),3
Manuel Araoz,Core(bitcoin.team),3
Matthew King,Core(bitcoin.team),3
Matthew Zipkin,Core(bitcoin.team),3
Michael Rotarius,Core(bitcoin.team),3
Murch,Core(bitcoin.team),3
Pavol Rusnak,Core(bitcoin.team),3
Ruben Dario Ponticelli,Core(bitcoin.team),3
Rune K. Svendsen,Core(bitcoin.team),3
Ryan Havar,Core(bitcoin.team),3
SergioDemianLerner,Core(bitcoin.team),3
Shaul Kfir,Core(bitcoin.team),3
Thomas Holenstein,Core(bitcoin.team),3
Tyler Hardin,Core(bitcoin.team),3
Vinnie Falco,Core(bitcoin.team),3
kazcw,Core(bitcoin.team),3
p2k,Core(bitcoin.team),3
theuni,Core(bitcoin.team),3
Alex,Core(bitcoin.team),2
Alon Muroch,Core(bitcoin.team),2
Andreas Schildbach,Core(bitcoin.team),2
Andrew Poelstra,Core(bitcoin.team),2
